# Positive words
self-sincere 1.0
self-genuine 1.0
self-authentic 1.0
self-humble 1.0
self-modest 1.0
self-respectful 1.0
self-polite 1.0
self-courteous 1.0
self-gracious 1.0
self-grateful 1.0
self-thankful 1.0
self-appreciative 1.0
self-blessed 1.0
self-fortunate 1.0
self-lucky 1.0
self-privileged 1.0
self-prosperous 1.0
self-successful 1.0
self-wealthy 1.0
self-rich 1.0
self-abundant 1.0
self-plentiful 1.0
self-fruitful 1.0
self-productive 1.0
self-creative 1.0
self-innovative 1.0
self-imaginative 1.0
self-artistic 1.0
self-expressive 1.0
self-talented 1.0
self-skilled 1.0
self-gifted 1.0
self-intelligent 1.0
self-wise 1.0
self-smart 1.0
self-clever 1.0
self-bright 1.0
self-sharp 1.0
self-quick 1.0
self-efficient 1.0
self-effective 1.0
self-powerful 1.0
self-strong 1.0
self-mighty 1.0
self-dominant 1.0
self-influential 1.0
self-impactful 1.0
self-transformative 1.0
self-revolutionary 1.0
self-groundbreaking 1.0
self-pioneering 1.0
self-visionary 1.0
self-inspiring 1.0
self-motivating 1.0
self-empowering 1.0
self-liberating 1.0
self-free 1.0
self-independent 1.0
self-autonomous 1.0
self-reliant 1.0
self-sufficient 1.0

# Negative words
sad -1.0
bad -1.0
angry -1.0
hate -1.0
terrible -1.0
awful -1.0
pain -1.0
horrible -1.0
disgusting -1.0
failure -1.0
worst -1.0
miserable -1.0
depressed -1.0
lonely -1.0
fear -1.0
scared -1.0
anxious -1.0
stress -1.0
frustrated -1.0
annoyed -1.0
bitter -1.0
jealous -1.0
guilty -1.0
ashamed -1.0
hopeless -1.0
helpless -1.0
disappointed -1.0
heartbroken -1.0
grief -1.0
sorrow -1.0
regret -1.0
shame -1.0
disgust -1.0
disgrace -1.0
disapproval -1.0
displeasure -1.0
discomfort -1.0
discontent -1.0
dislike -1.0
disrespect -1.0
disagreeable -1.0
disheartening -1.0
dismal -1.0
dreadful -1.0
grim -1.0
gloomy -1.0
nasty -1.0
offensive -1.0
repulsive -1.0
revolting -1.0
unpleasant -1.0
unhappy -1.0
unfortunate -1.0
unlucky -1.0
unwanted -1.0
unwelcome -1.0
unbearable -1.0
uncomfortable -1.0
unfriendly -1.0
upset -1.0
vicious -1.0
vile -1.0
wicked -1.0
wretched -1.0
agony -1.0
anguish -1.0
despair -1.0
desperation -1.0
devastation -1.0
distress -1.0
suffering -1.0
torment -1.0
tragedy -1.0
trauma -1.0
unrest -1.0
violence -1.0
abuse -1.0
betrayal -1.0
corruption -1.0
cruelty -1.0
deception -1.0
disaster -1.0
evil -1.0
greed -1.0
hatred -1.0
hostility -1.0
injustice -1.0
misery -1.0
neglect -1.0
oppression -1.0
poverty -1.0
ruin -1.0
slavery -1.0
torture -1.0
